,WR,distances,corr
1952-03-23,2,3.0313144904397187,0.33984177251466585
1952-03-24,2,2.937259253587719,0.4797479126149509
1952-03-25,2,2.8000099275691053,0.6009236501894324
1952-03-26,2,2.6338693999087877,0.691346639549038
1952-03-27,2,2.543786565302366,0.721606150319135
1952-03-28,2,2.663994912846887,0.6560012007442838
1952-03-29,2,2.988135587949217,0.506894491501638
1952-03-30,0,3.301984149163212,0.2856770821195688
1952-03-31,0,3.292008767061094,0.3200471661461205
1952-04-01,0,3.1106213738428936,0.3561171946257331
1952-04-02,0,2.837903466652035,0.3819747422928347
1952-04-03,0,2.6688463986899533,0.3666365398592527
1952-04-04,0,2.7486797428873917,0.28322669384980065
1952-04-05,1,2.6769613286372547,0.5119718375021495
1952-04-06,1,2.678434289616093,0.5297063633358513
1952-04-07,1,2.651607788148115,0.4749112956260802
1952-04-08,1,2.581442679054171,0.36608999167235806
1952-04-09,2,2.255007425826921,0.3906335805087572
1952-04-10,2,1.8476140225295972,0.5401276539971934
1952-04-11,2,1.5977457464271498,0.5971365118649083
1952-04-12,2,1.64402355318297,0.5072236780739579
1952-04-13,1,1.8854149588609832,0.3560660279572283
1952-04-14,1,1.9933389930776215,0.5067285328049382
1952-04-15,1,2.3396592670813097,0.5705913453741102
1952-04-16,1,2.7231386307134233,0.56872925272495
1952-04-17,1,2.9900985796787416,0.5190083524075869
1952-04-18,1,3.1002289318350362,0.4261275239131601
1952-04-19,1,3.0878296264146257,0.2928337616840087
1952-04-20,1,2.998356229189059,0.13478528567699655
1952-04-21,1,2.84745431386837,-0.004229913794635651
1952-04-22,1,2.6389218719055565,-0.04460413637117565
1952-04-23,1,2.4184595647194453,0.09211802117045502
1952-04-24,1,2.289524945227195,0.3336209374516464
1952-04-25,1,2.3321032531213315,0.5235786779896417
1952-04-26,1,2.5096037268471694,0.6260457436499962
1952-04-27,1,2.7336928924867006,0.650164064903727
1952-04-28,1,2.9840865591560184,0.5942221155218455
1952-04-29,1,3.3161189929182937,0.4543201219014226
1952-04-30,1,3.768220493499292,0.25056009484407915
1952-05-01,0,4.18636134794589,0.20101176364023263
1952-05-02,4,4.330327906247309,0.23393463727708227
1952-05-03,4,4.342026774619647,0.29963979996794876
1952-05-04,4,4.18527050349598,0.34212669876605256
1952-05-05,4,3.82635858055264,0.3683365057905953
1952-05-06,4,3.3064897419800787,0.3816689957316834
1952-05-07,4,2.7626054611410673,0.3767393798364723
1952-05-08,4,2.4450810596720425,0.32601063308662215
1952-05-09,0,2.388227763821292,0.34571964886215545
1952-05-10,0,2.552349259516453,0.4629568056993616
1952-05-11,0,2.890534234052691,0.5359484385268873
1952-05-12,0,3.189510616463151,0.5849431560990207
1952-05-13,0,3.349835812408315,0.6104981426289908
1952-05-14,0,3.3637846003579432,0.600290344927107
1952-05-15,0,3.27876027565023,0.5449900499895226
1952-05-16,0,3.1761968682777106,0.44325514223207463
1952-05-17,0,3.1535247820423447,0.2978173550066504
1952-05-18,2,2.7397869156841916,0.5270707625762756
1952-05-19,2,2.5306020328001018,0.6055968581372001
1952-05-20,2,2.5489530853321534,0.5984013925361623
1952-05-21,2,2.6315239068877117,0.5273932948127592
1952-05-22,2,2.6410162644353714,0.42500518076221017
1952-05-23,2,2.5811136933747236,0.3091829623430843
1952-05-24,4,2.1555933658766873,0.4159029624838136
1952-05-25,4,1.9204532369837786,0.582362302905336
1952-05-26,4,1.999209867482738,0.651009238510916
1952-05-27,4,2.2170694833200915,0.6138388198672085
1952-05-28,4,2.433607661578674,0.5314019505220204
1952-05-29,4,2.6757923687658223,0.43130283246828244
1952-05-30,4,3.0198221186929666,0.3278946768808175
1952-05-31,4,3.436820943399258,0.2397197233518988
1952-06-01,4,3.7845613880045064,0.1792162435859131
1952-06-02,5,3.8686339629492834,
1952-06-03,5,3.6833592755011977,
1952-06-04,5,3.2745386833091494,
1952-06-05,4,2.7797003198114143,0.31731134657819476
1952-06-06,4,2.437921374975563,0.4461565334310709
1952-06-07,4,2.5047483618333155,0.504875410800907
1952-06-08,4,2.853254209678479,0.4917100637854284
1952-06-09,4,3.1953114555693043,0.45679831121245823
1952-06-10,4,3.3621145730358455,0.4181323490783247
1952-06-11,4,3.332087888135301,0.37613515178648993
1952-06-12,4,3.1893703353839014,0.3276047638468296
1952-06-13,4,3.0606111787668153,0.2725646867333539
1952-06-14,3,2.9486574543873796,0.3262390506508787
1952-06-15,3,2.9476635215769496,0.31084991198360795
1952-06-16,5,3.045729317123975,
1952-06-17,5,3.0712480507149342,
1952-06-18,4,3.107943796679156,0.23858296386819847
1952-06-19,4,3.204685671434665,0.2532898195506478
1952-06-20,5,3.3391031625099603,
1952-06-21,5,3.393484428150657,
1952-06-22,2,3.313076143805632,0.13343956156437425
1952-06-23,2,3.1151130674842955,0.21350222339884609
1952-06-24,2,2.961245281692215,0.2828029231784655
1952-06-25,2,2.93838901544872,0.31581609455998777
1952-06-26,2,3.0505434352659995,0.3074262763524788
1952-06-27,2,3.226092397805953,0.2795986876031
1952-06-28,2,3.3791346790338257,0.2507869480370486
1952-06-29,2,3.4402651696712154,0.22832891544736442
1952-06-30,1,3.350511352940911,0.08125973382900113
1952-07-01,1,3.036755337940185,0.14650562217694993
1952-07-02,1,2.5718520943884458,0.26550994703932496
1952-07-03,1,2.104359360465839,0.4375144396406387
1952-07-04,1,1.9250325827862544,0.5619391850788371
1952-07-05,1,2.217409673642528,0.5657074747402988
1952-07-06,1,2.7956985505419776,0.5068706114642427
1952-07-07,1,3.434879068542652,0.42648248717673665
1952-07-08,4,3.798680878215692,0.4006563304189539
1952-07-09,4,4.004152554743899,0.5041035375537962
1952-07-10,4,4.16184647855091,0.5790818515400442
1952-07-11,4,4.2227826177867,0.6203061165110053
1952-07-12,4,4.1423453696305605,0.6271787077075435
1952-07-13,4,3.9192817576796752,0.5999353086603254
1952-07-14,4,3.609383428699494,0.5362899411316666
1952-07-15,4,3.3126000363989174,0.42929576859167823
1952-07-16,4,3.14787100425443,0.2669980445341199
1952-07-17,5,2.9527993321968795,
1952-07-18,2,3.0051847841437005,0.19801070295166592
1952-07-19,2,3.296716645192721,0.2569994775468043
1952-07-20,3,3.686699776640455,0.4000820438900152
1952-07-21,3,3.9846441299948347,0.38760918244144116
1952-07-22,3,4.182706055296862,0.34957141341528375
1952-07-23,3,4.318034604620237,0.27891062569353586
1952-07-24,3,4.492596735920191,0.17337779851035165
1952-07-25,4,4.5353540465477575,0.2736787044395456
1952-07-26,4,4.505410811946103,0.4003801392739883
1952-07-27,4,4.462904162864688,0.4944814315622714
1952-07-28,4,4.350506009505354,0.5560905705618406
1952-07-29,4,4.206933641573218,0.5802186990426603
1952-07-30,4,4.129217764453653,0.5571368987790729
1952-07-31,4,4.147305284284138,0.48972832538636674
1952-08-01,4,4.163455590352176,0.40122502846674746
1952-08-02,4,4.048874885315485,0.3169490034401759
1952-08-03,4,3.77881383276068,0.24974219144406107
1952-08-04,4,3.4850052148564425,0.2016431230457989
1952-08-05,5,3.3220780765596323,
1952-08-06,0,3.3558252826538513,0.2623055150432593
1952-08-07,0,3.491688132858851,0.26688558031542425
1952-08-08,0,3.5108548027325823,0.2571378040235517
1952-08-09,0,3.3545018636615382,0.2409628312637979
1952-08-10,0,3.1484676483090865,0.21053158086715976
1952-08-11,5,3.0490065567754714,
1952-08-12,3,2.9289872382162927,0.12338760421077524
1952-08-13,3,2.6496060678988917,0.3827583469354385
1952-08-14,3,2.417485001909637,0.5342966219488172
1952-08-15,3,2.2547915797651252,0.5797401356268069
1952-08-16,3,2.325728526251456,0.5166053535217897
1952-08-17,3,2.7207406016374893,0.36458884656074764
1952-08-18,4,3.1885403773814187,0.2882839072618882
1952-08-19,4,3.476018910148425,0.33094789031704064
1952-08-20,4,3.6866775172098736,0.3621547206129769
1952-08-21,4,3.723865063297315,0.38562363248872206
1952-08-22,4,3.5660705917083955,0.4001582272378713
1952-08-23,4,3.2764448166692803,0.39882912498075124
1952-08-24,4,3.0238568767994676,0.36524749743462825
1952-08-25,4,3.043381345768471,0.2745787229485464
1952-08-26,5,3.280461714588801,
1952-08-27,5,3.728808828271178,
1952-08-28,2,4.07568897400144,0.21100859733954624
1952-08-29,2,4.25979752012552,0.3103781081378279
1952-08-30,2,4.2403244343995405,0.4008747741439382
1952-08-31,2,4.040881931475457,0.4956100884469829
1952-09-01,2,3.7669053449004837,0.6031435963639463
1952-09-02,2,3.568869483205748,0.682802742949937
1952-09-03,3,3.497615471034586,0.025643536554835356
1952-09-04,3,3.4971311761533754,0.16448521860624954
1952-09-05,3,3.651434160836578,0.27055474211351616
1952-09-06,3,3.8210308616343758,0.3579149189938252
1952-09-07,3,3.916502906019356,0.4347027727119328
1952-09-08,3,3.929117212636365,0.4931577033460037
1952-09-09,3,3.887821213618784,0.5134198297251404
1952-09-10,3,3.795545699707673,0.4836678207155296
1952-09-11,5,3.5452917598809237,
1952-09-12,5,3.1694496903827174,
1952-09-13,0,2.6652959521269595,0.40823836492849197
1952-09-14,0,2.336136982547576,0.5246164864922671
1952-09-15,0,2.4836660105261927,0.52960018172244
1952-09-16,0,2.8624776868749042,0.47274030882302875
1952-09-17,4,3.0699581122366006,0.44678167678162567
1952-09-18,4,2.88564174025017,0.5371331672734481
1952-09-19,4,2.6663988048546865,0.6047024901456326
1952-09-20,4,2.7241147837545645,0.5999289218884939
1952-09-21,4,3.091344295262382,0.5077650052816305
1952-09-22,4,3.4598768638963437,0.3935290421108281
1952-09-23,4,3.5855301715674637,0.30125463321564594
1952-09-24,1,3.3311613135822165,0.5710852036723054
1952-09-25,1,2.9880317024611145,0.5710847332292877
1952-09-26,1,2.945924390731951,0.4829020431357656
