,WR,distances,corr
1940-02-18,0,3.2195181112641387,0.44032864283635126
1940-02-19,0,3.024947318352198,0.4323018240930853
1940-02-20,0,2.751293025812343,0.4381793793640812
1940-02-21,0,2.469303001937913,0.4556036335134259
1940-02-22,0,2.353887394510689,0.4544911548726871
1940-02-23,0,2.535401175045141,0.40281386295449034
1940-02-24,0,2.906965209528299,0.321031829496814
1940-02-25,0,3.2603258791962864,0.23887380483478973
1940-02-26,5,3.4059247605006298,
1940-02-27,4,3.3049971551449393,0.2676338526367216
1940-02-28,4,3.0725368865167084,0.41692960137848517
1940-03-01,4,2.902503792500785,0.5379323532826145
1940-03-02,4,2.7789110509090333,0.6049045380631165
1940-03-03,4,2.604010134278376,0.6182151638088246
1940-03-04,4,2.338786647027894,0.5876366259473154
1940-03-05,4,2.098824455189535,0.5127472910669015
1940-03-06,4,2.0947119645644694,0.39045592336756285
1940-03-07,0,2.342696219301637,0.27736720617871313
1940-03-08,0,2.441119582767661,0.3587665970855327
1940-03-09,0,2.544063105150798,0.3988151646978285
1940-03-10,0,2.5346572387341424,0.4095259945378278
1940-03-11,0,2.4190457281400763,0.3973650845352217
1940-03-12,0,2.2689499501807333,0.36716022764642553
1940-03-13,0,2.151491272510819,0.32722017990189867
1940-03-14,5,2.0369405254559423,
1940-03-15,5,2.000635094966786,
1940-03-16,5,2.099209505277999,
1940-03-17,0,2.2149586072186493,0.3402333976530522
1940-03-18,0,2.3039728849228895,0.44193471770728976
1940-03-19,0,2.3931534361534053,0.5639115928492517
1940-03-20,0,2.4966241197608667,0.6452100910230614
1940-03-21,0,2.6271602180441875,0.652987470857442
1940-03-22,0,2.7656734746725307,0.6212777782336023
1940-03-23,0,2.8745517185739153,0.583692608605828
1940-03-24,0,2.9454857172193774,0.5484858691598347
1940-03-25,0,3.02356407991869,0.5091186555062093
1940-03-26,0,3.165449457436306,0.45342702661617096
1940-03-27,1,3.266648722060748,0.15017160028327145
1940-03-28,1,3.114343457235527,0.2906476670440541
1940-03-29,1,2.9829792324416053,0.3728359129016543
1940-03-30,1,2.8745622635257466,0.3811840660337778
1940-03-31,1,2.871105380517172,0.3101325225701168
1940-04-01,1,3.0418807975882016,0.18364100941554864
1940-04-02,1,3.325886838782587,0.06425300117443479
1940-04-03,1,3.573602561208694,-0.000476391682207285
1940-04-04,3,3.659431022807759,0.4708541825561522
1940-04-05,3,3.5646884542712263,0.45091964291980496
1940-04-06,3,3.4184410360429007,0.4069113580007023
1940-04-07,3,3.297966107267282,0.34075450545153213
1940-04-08,3,3.2488589781154706,0.26300472869488456
1940-04-09,3,3.2710276696396625,0.18651349386229166
1940-04-10,4,3.2184031385073957,0.30041999514619533
1940-04-11,4,3.1348087735920434,0.432280966174181
1940-04-12,4,3.0483136158821833,0.5428109706688121
1940-04-13,4,2.8946115955122704,0.6234895871238065
1940-04-14,4,2.6234617420441557,0.6822216815529647
1940-04-15,4,2.289289573478157,0.7167829771297474
1940-04-16,4,2.1009807284392945,0.6943025980373894
1940-04-17,4,2.250669816918581,0.5826679273249202
1940-04-18,4,2.6055525251607268,0.43309698828977006
1940-04-19,4,2.876548897304776,0.31689677158215707
1940-04-20,4,2.901446130056216,0.24957110513680542
1940-04-21,5,2.706420456499634,
1940-04-22,0,2.3967448983885,0.3018200458866942
1940-04-23,0,2.2514675678635134,0.39692438185960016
1940-04-24,0,2.3633538611413343,0.4435821638077865
1940-04-25,0,2.48802678905194,0.4601238772649346
1940-04-26,0,2.4174277960141377,0.4614828445486675
1940-04-27,0,2.1606582529796756,0.43371808702067816
1940-04-28,5,1.8025565430266295,
1940-04-29,1,1.6795079966757236,0.4813917982568071
1940-04-30,1,1.8530336479099572,0.694376560569856
1940-05-01,1,2.26630913088055,0.7689382563950726
1940-05-02,1,2.5871400520760446,0.7920846929566095
1940-05-03,1,2.7032146874011516,0.7931695510716337
